A0A,46587
A0B,19792
A0C,12587
A0E,22294
A0G,35266
A0H,17804
A0J,7880
A0K,26058
A0L,7643
A0M,6200
A0N,13815
A0P,13721
A0R,2543
A1A,30382
A1B,19867
A1C,12712
A1E,27115
A1G,5777
A1H,5493
A1K,12253
A1L,21376
A1M,8058
A1N,22957
A1S,6142
A1V,11698
A1W,11209
A1X,15003
A1Y,5669
A2A,9610
A2B,4909
A2H,26092
A2N,8904
A2V,7288
A5A,8111
A8A,6901
B0C,2649
B0E,25881
B0H,9953
B0J,39302
B0K,35895
B0L,2364
B0M,16997
B0N,39559
B0P,40417
B0R,5779
B0S,17212
B0T,14607
B0V,5809
B0W,26951
B1A,15937
B1B,1196
B1C,1654
B1E,1564
B1G,1867
B1H,9642
B1J,969
B1K,3049
B1L,4905
B1M,1130
B1N,5705
B1P,14296
B1R,4318
B1S,8548
B1T,354
B1V,6311
B1W,3422
B1X,843
B1Y,5885
B2A,8017
B2C,290
B2E,41
B2G,14361
B2H,14477
B2J,68
B2N,19842
B2R,2459
B2S,7583
B2T,16980
B2V,12230
B2W,32537
B2X,11629
B2Y,14595
B2Z,8258
B3A,20131
B3B,1438
B3E,6782
B3G,10593
B3H,18814
B3J,5901
B3K,20591
B3L,17534
B3M,32204
B3N,13604
B3P,9347
B3R,8484
B3S,12895
B3T,16884
B3V,5999
B3Z,16905
B4A,17900
B4B,13028
B4C,18195
B4E,18259
B4G,5055
B4H,13422
B4N,17382
B4P,7784
B4R,2985
B4V,20167
B5A,15479
B6L,13007
B9A,4492
C0A,44095
C0B,28575
C1A,24839
C1B,13203
C1C,4266
C1E,11466
C1N,16463
E1A,43012
E1B,19667
E1C,23686
E1E,11006
E1G,22554
E1H,7421
E1J,3436
E1N,11344
E1V,13544
E1W,6935
E1X,14040
E2A,17205
E2E,19526
E2G,5079
E2H,4700
E2J,15813
E2K,17495
E2L,7566
E2M,18715
E2N,4275
E2P,1391
E2R,10
E2S,6822
E2V,14649
E3A,28167
E3B,36946
E3C,11594
E3E,4600
E3G,8687
E3L,8618
E3N,13533
E3V,11742
E3Y,7355
E3Z,4080
E4A,2926
E4B,4190
E4C,2186
E4E,8906
E4G,2737
E4H,4014
E4J,4840
E4K,6315
E4L,7009
E4M,1772
E4N,3712
E4P,14586
E4R,6285
E4S,7013
E4T,2159
E4V,4246
E4W,8069
E4X,2976
E4Y,3038
E4Z,5618
E5A,1698
E5B,3037
E5C,4221
E5E,872
E5G,2505
E5H,2825
E5J,1960
E5K,7123
E5L,2871
E5M,2028
E5N,11668
E5P,2546
E5R,1446
E5S,1774
E5T,3035
E5V,797
E6A,1254
E6B,1590
E6C,2044
E6E,1512
E6G,2519
E6H,1210
E6J,1185
E6K,3787
E6L,4660
E7A,3707
E7B,5701
E7C,5229
E7E,4279
E7G,3720
E7H,5577
E7J,2069
E7K,2564
E7L,5195
E7M,9908
E7N,2966
E7P,3591
E8A,3679
E8B,2333
E8C,3544
E8E,5224
E8G,2642
E8J,5614
E8K,8668
E8L,2356
E8M,2059
E8N,2549
E8P,3450
E8R,3174
E8S,4578
E8T,5758
E9A,2254
E9B,2336
E9C,2115
E9E,3953
E9G,5290
E9H,3041
G0A,86140
G0C,47114
G0E,4773
G0G,17665
G0H,10540
G0J,29251
G0K,11587
G0L,59524
G0M,34021
G0N,19489
G0P,6816
G0R,83573
G0S,68020
G0T,14063
G0V,17614
G0W,36076
G0X,58779
G0Y,9052
G0Z,8596
G1A,0
G1B,16337
G1C,36407
G1E,27071
G1G,24695
G1H,29105
G1J,23388
G1K,18309
G1L,22729
G1M,19697
G1N,8053
G1P,16514
G1R,16663
G1S,25741
G1T,6378
G1V,18530
G1W,21091
G1X,25855
G1Y,12653
G2A,15482
G2B,24546
G2C,11767
G2E,20674
G2G,10676
G2J,2953
G2K,10961
G2L,14090
G2M,5301
G2N,8134
G3A,19198
G3B,7925
G3C,8977
G3E,15629
G3G,10098
G3H,9252
G3J,10341
G3K,18534
G3L,10309
G3M,7200
G3N,9942
G3Z,7142
G4A,3085
G4R,20973
G4S,5208
G4T,12475
G4V,6616
G4W,14326
G4X,14568
G4Z,9859
G5A,8332
G5B,6294
G5C,11771
G5H,6789
G5J,6221
G5L,29258
G5M,8471
G5N,7969
G5R,19500
G5T,2863
G5V,11255
G5X,6290
G5Y,23460
G5Z,6882
G6A,2330
G6B,8179
G6C,7046
G6E,13537
G6G,19707
G6H,7142
G6J,10513
G6K,8366
G6L,15172
G6P,29233
G6R,4598
G6S,5029
G6T,10291
G6V,31698
G6W,23942
G6X,9751
G6Y,5618
G6Z,23607
G7A,22834
G7B,17957
G7G,16737
G7H,28516
G7J,14860
G7K,648
G7N,6367
G7P,7244
G7S,20099
G7T,901
G7X,25725
G7Y,622
G7Z,2823
G8A,6179
G8B,22664
G8C,4209
G8E,3841
G8G,3991
G8H,10303
G8J,4154
G8K,10238
G8L,14753
G8M,5286
G8N,2533
G8P,7537
G8T,28121
G8V,9484
G8W,10311
G8Y,32509
G8Z,13573
G9A,20220
G9B,16948
G9C,3247
G9H,13028
G9N,16114
G9P,11318
G9R,2274
G9T,15914
G9X,10745
H0M,1202
H1A,32516
H1B,20160
H1C,14678
H1E,42420
H1G,48556
H1H,36127
H1J,10308
H1K,34821
H1L,33468
H1M,29359
H1N,23870
H1P,18063
H1R,30903
H1S,25737
H1T,31338
H1V,22086
H1W,28889
H1X,30366
H1Y,27172
H1Z,35472
H2A,19651
H2B,17678
H2C,18692
H2E,24297
H2G,21981
H2H,14671
H2J,26559
H2K,28727
H2L,24222
H2M,18621
H2N,6334
H2P,14693
H2R,22436
H2S,27359
H2T,16272
H2V,31323
H2W,11305
H2X,19901
H2Y,3455
H2Z,2313
H3A,3580
H3B,581
H3C,10877
H3E,20461
H3G,7457
H3H,19025
H3J,11071
H3K,14919
H3L,20636
H3M,15478
H3N,28277
H3P,10208
H3R,9650
H3S,33125
H3T,12817
H3V,6648
H3W,30678
H3X,23069
H3Y,9747
H3Z,11813
H4A,26453
H4B,20368
H4C,17052
H4E,30513
H4G,29488
H4H,19268
H4J,18205
H4K,11257
H4L,36795
H4M,12325
H4N,29755
H4P,7149
H4R,27065
H4S,560
H4T,0
H4V,20338
H4W,24742
H4X,6289
H4Y,5
H4Z,10
H5A,0
H5B,5
H7A,20918
H7B,3037
H7C,8985
H7E,26385
H7G,21157
H7H,13828
H7J,2215
H7K,22259
H7L,37252
H7M,27898
H7N,42318
H7P,35056
